                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4276,                 2.4579,                 1.5742,                 0.2957,                0.45234,                0.25938,                 0.1364,                  1.375,                 2.8746,                  1.954,              0.0004727,              0.0004727,              0.0004727
                      2,                 1.3731,                 1.9864,                 1.5284,                0.25133,                0.43517,                0.23919,                0.10039,                 1.7633,                 2.7765,                 2.4165,              0.0009412,              0.0009412,              0.0009412
                      3,                 1.3947,                 1.8949,                 1.5549,                0.27671,                0.51037,                   0.26,                0.14148,                 1.6587,                 2.5128,                 2.2504,              0.0014018,              0.0014018,              0.0014018
                      4,                 1.4142,                 1.7976,                 1.5531,                0.31161,                0.47397,                0.29977,                0.15143,                 1.6506,                 2.1854,                 2.1699,              0.0013936,              0.0013936,              0.0013936
                      5,                 1.3758,                 1.7129,                  1.538,                0.35135,                0.55625,                0.36956,                0.21133,                 1.4605,                 1.8913,                 2.0274,              0.0013936,              0.0013936,              0.0013936
                      6,                 1.3677,                 1.6521,                 1.5242,                0.44156,                  0.505,                0.42286,                0.25903,                 1.3868,                 1.8053,                 1.9461,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.3337,                 1.5944,                 1.4987,                0.47077,                0.51034,                0.45521,                0.28447,                 1.2942,                 1.8219,                  1.808,              0.0013701,              0.0013701,              0.0013701
                      8,                 1.3201,                 1.5554,                 1.4847,                0.38227,                0.54734,                0.38141,                0.21298,                 1.4383,                 1.8467,                  1.997,              0.0013583,              0.0013583,              0.0013583
                      9,                 1.2978,                 1.5133,                 1.4804,                0.47036,                0.57814,                0.47322,                0.26866,                 1.3459,                 1.6156,                 1.8661,              0.0013465,              0.0013465,              0.0013465
                     10,                 1.3042,                 1.4906,                   1.48,                0.51892,                0.51808,                0.49036,                0.30731,                  1.317,                 1.6587,                 1.8165,              0.0013347,              0.0013347,              0.0013347
                     11,                 1.2812,                 1.4517,                 1.4703,                  0.458,                0.60998,                0.49346,                0.31208,                 1.2839,                 1.6279,                 1.7777,              0.0013229,              0.0013229,              0.0013229
                     12,                 1.2638,                 1.4246,                  1.455,                0.52274,                0.59736,                 0.5679,                0.33813,                 1.3219,                 1.5334,                 1.8689,              0.0013111,              0.0013111,              0.0013111
                     13,                 1.2445,                  1.403,                 1.4364,                0.53241,                0.59847,                0.54205,                0.33042,                 1.2902,                 1.5473,                 1.7935,              0.0012993,              0.0012993,              0.0012993
                     14,                 1.2379,                 1.3876,                 1.4419,                0.56002,                0.55496,                0.52062,                0.32886,                 1.2503,                 1.5568,                 1.7615,              0.0012875,              0.0012875,              0.0012875
