文件路径,识别结果,位置,置信度,用时
ExamMonitoring_SIXU_A01857.jpg,良好,"[340, 36, 640, 542]",0.8936719298362732,0.016007184982299805
ExamMonitoring_SIXU_A01857.jpg,疑似作弊,"[0, 8, 288, 503]",0.9140668511390686,0.016007184982299805
Camera: 0,疑似作弊,"[376, 192, 394, 255]",0.4276222884654999,0.021996259689331055
Camera: 0,正常,"[475, 251, 498, 326]",0.5613667368888855,0.021996259689331055
Camera: 0,正常,"[302, 279, 338, 378]",0.657876193523407,0.021996259689331055
Camera: 0,正常,"[527, 250, 555, 320]",0.7459385991096497,0.021996259689331055
Camera: 0,正常,"[409, 197, 434, 254]",0.7525513172149658,0.021996259689331055
Camera: 0,疑似作弊,"[459, 198, 487, 255]",0.7758194804191589,0.021996259689331055
Camera: 0,正常,"[435, 314, 467, 412]",0.7845633625984192,0.021996259689331055
Camera: 0,正常,"[602, 212, 633, 285]",0.7864904403686523,0.021996259689331055
Camera: 0,正常,"[340, 219, 369, 306]",0.7957280278205872,0.021996259689331055
Camera: 0,疑似作弊,"[399, 240, 423, 312]",0.8065637946128845,0.021996259689331055
Camera: 0,正常,"[370, 310, 408, 421]",0.8377325534820557,0.021996259689331055
Camera: 0,正常,"[580, 321, 620, 422]",0.8599423766136169,0.021996259689331055
Camera: 0,正常,"[504, 299, 539, 395]",0.8684777021408081,0.021996259689331055
Camera: 0,疑似作弊,"[376, 192, 394, 255]",0.4279315173625946,0.021999835968017578
Camera: 0,正常,"[475, 251, 498, 326]",0.5613481998443604,0.021999835968017578
Camera: 0,正常,"[302, 279, 338, 378]",0.6581206321716309,0.021999835968017578
Camera: 0,正常,"[527, 250, 555, 320]",0.745945155620575,0.021999835968017578
Camera: 0,正常,"[409, 197, 434, 254]",0.7526810765266418,0.021999835968017578
Camera: 0,疑似作弊,"[459, 198, 487, 255]",0.7758747339248657,0.021999835968017578
Camera: 0,正常,"[435, 314, 467, 412]",0.7846341133117676,0.021999835968017578
Camera: 0,正常,"[602, 212, 633, 285]",0.7865174412727356,0.021999835968017578
Camera: 0,正常,"[340, 219, 369, 306]",0.7956927418708801,0.021999835968017578
Camera: 0,疑似作弊,"[399, 240, 423, 312]",0.8065807819366455,0.021999835968017578
Camera: 0,正常,"[370, 310, 408, 421]",0.8375227451324463,0.021999835968017578
Camera: 0,正常,"[580, 321, 620, 422]",0.8598722219467163,0.021999835968017578
Camera: 0,正常,"[504, 299, 539, 395]",0.868453323841095,0.021999835968017578
Camera: 0,疑似作弊,"[376, 192, 394, 255]",0.42686954140663147,0.02102375030517578
Camera: 0,正常,"[475, 251, 498, 326]",0.5620123744010925,0.02102375030517578
Camera: 0,正常,"[302, 279, 338, 378]",0.6586647629737854,0.02102375030517578
Camera: 0,正常,"[527, 250, 555, 320]",0.7459389567375183,0.02102375030517578
Camera: 0,正常,"[409, 197, 434, 254]",0.7532322406768799,0.02102375030517578
Camera: 0,疑似作弊,"[459, 198, 487, 255]",0.7756655216217041,0.02102375030517578
Camera: 0,正常,"[435, 314, 467, 412]",0.7841862440109253,0.02102375030517578
Camera: 0,正常,"[602, 212, 633, 285]",0.7865102887153625,0.02102375030517578
Camera: 0,正常,"[340, 219, 369, 306]",0.7960569262504578,0.02102375030517578
Camera: 0,疑似作弊,"[399, 240, 423, 312]",0.8060839772224426,0.02102375030517578
Camera: 0,正常,"[370, 310, 408, 421]",0.837390661239624,0.02102375030517578
Camera: 0,正常,"[580, 321, 620, 422]",0.8608896136283875,0.02102375030517578
Camera: 0,正常,"[504, 299, 539, 395]",0.8686227798461914,0.02102375030517578
Camera: 0,正常,"[476, 267, 497, 326]",0.2573545575141907,0.02300262451171875
Camera: 0,疑似作弊,"[375, 206, 394, 260]",0.5145873427391052,0.02300262451171875
Camera: 0,正常,"[302, 282, 338, 387]",0.7379725575447083,0.02300262451171875
Camera: 0,正常,"[526, 254, 555, 328]",0.7413974404335022,0.02300262451171875
Camera: 0,正常,"[602, 215, 632, 287]",0.7638312578201294,0.02300262451171875
Camera: 0,正常,"[409, 201, 433, 257]",0.7687047123908997,0.02300262451171875
Camera: 0,疑似作弊,"[458, 200, 486, 258]",0.799631655216217,0.02300262451171875
Camera: 0,正常,"[338, 222, 369, 308]",0.8005178570747375,0.02300262451171875
Camera: 0,正常,"[504, 304, 538, 395]",0.8199760913848877,0.02300262451171875
Camera: 0,正常,"[435, 315, 466, 414]",0.8221990466117859,0.02300262451171875
Camera: 0,疑似作弊,"[398, 244, 422, 317]",0.8297690153121948,0.02300262451171875
Camera: 0,正常,"[368, 312, 408, 424]",0.8453339338302612,0.02300262451171875
Camera: 0,正常,"[580, 323, 619, 424]",0.8634714484214783,0.02300262451171875
Camera: 0,正常,"[476, 267, 497, 326]",0.2573656737804413,0.027388811111450195
Camera: 0,疑似作弊,"[375, 206, 394, 260]",0.514772891998291,0.027388811111450195
Camera: 0,正常,"[302, 282, 338, 387]",0.7379672527313232,0.027388811111450195
Camera: 0,正常,"[526, 254, 555, 328]",0.7413411736488342,0.027388811111450195
Camera: 0,正常,"[602, 215, 632, 287]",0.7638471126556396,0.027388811111450195
Camera: 0,正常,"[409, 201, 433, 257]",0.768676221370697,0.027388811111450195
Camera: 0,疑似作弊,"[458, 200, 486, 259]",0.7996788024902344,0.027388811111450195
